"tick","uncolonized_count","colonized_count","infection_count","total_count"
212.1,42603,1360,15,43978
213.1,42604,1360,14,43978
214.1,42604,1360,14,43978
215.1,42604,1359,15,43978
216.1,42605,1358,15,43978
217.1,42605,1357,16,43978
218.1,42605,1357,16,43978
219.1,42606,1355,17,43978
220.1,42606,1355,17,43978
221.1,42605,1356,17,43978
222.1,42605,1356,17,43978
223.1,42605,1356,17,43978
224.1,42606,1356,16,43978
225.1,42606,1356,16,43978
226.1,42607,1355,16,43978
227.1,42607,1355,16,43978
228.1,42606,1356,16,43978
229.1,42605,1356,17,43978
230.1,42602,1358,18,43978
231.1,42602,1358,18,43978
232.1,42602,1358,18,43978
233.1,42603,1358,17,43978
234.1,42604,1358,16,43978
235.1,42604,1358,16,43978
236.1,42606,1358,14,43978
237.1,42606,1358,14,43978
238.1,42605,1358,15,43978
239.1,42605,1358,15,43978
240.1,42605,1359,14,43978
241.1,42605,1358,15,43978
242.1,42605,1358,15,43978
243.1,42606,1357,15,43978
244.1,42606,1357,15,43978
245.1,42606,1356,16,43978
246.1,42606,1356,16,43978
247.1,42606,1356,16,43978
248.1,42605,1358,15,43978
249.1,42604,1358,16,43978
250.1,42604,1358,16,43978
251.1,42605,1358,15,43978
252.1,42607,1357,14,43978
253.1,42607,1357,14,43978
254.1,42607,1356,15,43978
255.1,42609,1354,15,43978
256.1,42609,1354,15,43978
257.1,42609,1354,15,43978
258.1,42609,1353,16,43978
259.1,42611,1350,17,43978
260.1,42610,1351,17,43978
261.1,42610,1351,17,43978
262.1,42612,1348,18,43978
263.1,42612,1348,18,43978
264.1,42612,1348,18,43978
265.1,42612,1348,18,43978
266.1,42612,1347,19,43978
267.1,42614,1346,18,43978
268.1,42613,1346,19,43978
269.1,42613,1346,19,43978
270.1,42612,1348,18,43978
271.1,42613,1348,17,43978
272.1,42614,1347,17,43978
273.1,42614,1347,17,43978
274.1,42614,1347,17,43978
275.1,42614,1346,18,43978
276.1,42614,1345,19,43978
277.1,42614,1345,19,43978
278.1,42614,1345,19,43978
279.1,42614,1345,19,43978
280.1,42614,1344,20,43978
281.1,42614,1344,20,43978
282.1,42614,1342,22,43978
283.1,42614,1340,24,43978
284.1,42614,1338,26,43978
285.1,42615,1338,25,43978
286.1,42615,1338,25,43978
287.1,42616,1337,25,43978
288.1,42616,1336,26,43978
289.1,42613,1339,26,43978
290.1,42613,1340,25,43978
291.1,42613,1340,25,43978
292.1,42615,1339,24,43978
293.1,42614,1340,24,43978
294.1,42614,1340,24,43978
295.1,42614,1340,24,43978
296.1,42613,1342,23,43978
297.1,42613,1342,23,43978
298.1,42614,1343,21,43978
299.1,42612,1345,21,43978
300.1,42611,1346,21,43978
301.1,42611,1346,21,43978
302.1,42609,1348,21,43978
303.1,42609,1348,21,43978
304.1,42610,1348,20,43978
305.1,42610,1348,20,43978
306.1,42610,1348,20,43978
307.1,42610,1347,21,43978
308.1,42610,1347,21,43978
309.1,42610,1347,21,43978
310.1,42609,1348,21,43978
311.1,42609,1348,21,43978
312.1,42609,1348,21,43978
313.1,42609,1348,21,43978
314.1,42609,1348,21,43978
315.1,42610,1348,20,43978
316.1,42612,1348,18,43978
317.1,42611,1349,18,43978
318.1,42611,1348,19,43978
319.1,42611,1347,20,43978
320.1,42613,1347,18,43978
321.1,42613,1347,18,43978
322.1,42614,1346,18,43978
323.1,42614,1346,18,43978
324.1,42613,1347,18,43978
325.1,42615,1345,18,43978
326.1,42616,1345,17,43978
327.1,42616,1347,15,43978
328.1,42617,1347,14,43978
329.1,42616,1347,15,43978
330.1,42617,1347,14,43978
331.1,42617,1347,14,43978
332.1,42616,1348,14,43978
333.1,42618,1347,13,43978
334.1,42618,1347,13,43978
335.1,42618,1345,15,43978
336.1,42619,1345,14,43978
337.1,42619,1344,15,43978
338.1,42619,1344,15,43978
339.1,42619,1344,15,43978
340.1,42618,1345,15,43978
341.1,42618,1345,15,43978
342.1,42615,1348,15,43978
343.1,42617,1347,14,43978
344.1,42617,1347,14,43978
345.1,42618,1346,14,43978
346.1,42618,1345,15,43978
347.1,42617,1346,15,43978
348.1,42619,1345,14,43978
349.1,42620,1344,14,43978
350.1,42620,1344,14,43978
351.1,42620,1343,15,43978
352.1,42620,1342,16,43978
353.1,42620,1342,16,43978
354.1,42620,1341,17,43978
355.1,42620,1341,17,43978
356.1,42620,1341,17,43978
357.1,42620,1341,17,43978
358.1,42620,1341,17,43978
359.1,42620,1341,17,43978
360.1,42618,1343,17,43978
361.1,42617,1343,18,43978
362.1,42617,1344,17,43978
